"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"103,62";"77,75";"64,41";"64,34";"91,09";"88,38";"90,92";"96,38";"61,31";"91,19";"72,59";"88,22";"88,88";"80,35";"102,16";"79,99";"68,11";"90,99";"39,51";"79,39";"86,23";"25,12";"51,01";"46,15";"77,56";"78,44";"80,45"
"12 Acre";"103,98";"63,94";"51,89";"53,76";"74,56";"65,35";"67,12";"87,39";"41,04";"75,46";"51,74";"59,84";"63,27";"60,66";"87,44";"52,81";"46,41";"71,14";"30,12";"59,42";"69,04";"11,12";"30,14";"25,44";"69,33";"73,78";"69,51"
"13 Amazonas";"107,51";"79,07";"52,07";"59,01";"72,61";"72,90";"73,75";"83,13";"56,28";"79,18";"63,23";"75,87";"78,06";"69,89";"86,45";"67,16";"57,37";"74,28";"36,18";"67,26";"72,68";"19,29";"46,06";"44,61";"65,70";"69,99";"70,69"
"14 Roraima";"112,24";"84,75";"57,84";"63,49";"79,69";"73,95";"78,47";"88,60";"62,60";"81,07";"64,09";"70,84";"77,58";"74,64";"88,15";"70,75";"61,72";"84,19";"38,60";"72,00";"89,77";"26,70";"43,50";"42,73";"68,77";"77,16";"76,06"
"15 Pará";"108,64";"62,71";"49,08";"49,22";"70,41";"60,81";"63,24";"86,94";"31,29";"73,87";"50,97";"63,50";"65,64";"57,12";"93,09";"52,31";"43,85";"81,47";"24,57";"56,88";"80,50";"22,59";"32,16";"26,25";"71,96";"82,34";"73,86"
"16 Amapá";"114,03";"78,30";"53,46";"60,47";"77,43";"61,87";"66,26";"85,35";"27,53";"76,28";"56,44";"63,70";"66,39";"50,01";"89,07";"62,28";"53,22";"84,96";"28,67";"58,01";"82,14";"29,29";"42,96";"32,56";"69,41";"75,22";"72,14"
"17 Tocantins";"105,68";"79,98";"62,28";"59,08";"89,86";"81,95";"87,07";"97,41";"63,79";"87,03";"68,90";"83,76";"85,22";"76,84";"89,73";"73,36";"60,54";"89,12";"40,06";"75,27";"88,22";"25,00";"33,17";"39,06";"74,48";"79,24";"78,79"
"21 Maranhão";"111,37";"70,04";"52,91";"50,64";"67,03";"68,58";"69,32";"83,85";"35,90";"78,24";"55,68";"68,97";"71,17";"65,00";"99,63";"56,75";"32,88";"77,57";"25,72";"64,28";"78,69";"14,44";"40,58";"35,00";"72,37";"79,04";"73,73"
"22 Piauí";"101,54";"70,43";"56,71";"55,73";"67,51";"70,57";"75,37";"87,61";"51,53";"62,85";"61,88";"77,01";"78,65";"67,51";"97,81";"63,14";"28,80";"83,86";"33,91";"69,63";"76,87";"24,43";"35,63";"32,43";"68,87";"77,51";"73,49"
"23 Ceará";"108,79";"74,35";"64,67";"63,91";"76,95";"86,60";"89,14";"102,04";"61,64";"3,04";"74,41";"90,84";"93,23";"86,05";"111,37";"83,13";"46,47";"93,03";"39,04";"82,37";"98,09";"24,79";"63,50";"49,82";"74,60";"77,77";"76,68"
